Frame,Mg,NaCl
MG_15mM_1264_Box_50_run3_frame0012_SHL4,0.209358,0.269481
MG_15mM_1264_Box_50_run3_frame0013_SHL4,0.26412,0.365006
MG_15mM_1264_Box_50_run3_frame0013_SHL6,0.221997,0.257681
MG_15mM_1264_Box_50_run3_frame0014_SHL4,0.285035,0.344649
MG_15mM_1264_Box_50_run3_frame0014_SHL6,0.235076,0.306521
MG_15mM_1264_Box_50_run3_frame0015_SHL6,0.190783,0.284178
MG_15mM_1264_Box_50_run3_frame0016_SHL6,0.201214,0.300357
MG_15mM_1264_Box_50_run3_frame0017_SHL4,0.415708,0.381369
MG_15mM_1264_Box_50_run3_frame0017_SHL6,0.231863,0.349665
MG_15mM_1264_Box_50_run3_frame0018_SHL4,0.291998,0.350573
MG_15mM_1264_Box_50_run3_frame0018_SHL6,0.256942,0.343746
MG_15mM_1264_Box_50_run3_frame0019_SHL4,0.387567,0.429229
MG_15mM_1264_Box_50_run3_frame0020_SHL6,0.255981,0.333982
MG_15mM_1264_Box_50_run3_frame0021_SHL4,0.292611,0.400083
MG_15mM_1264_Box_50_run3_frame0023_SHL4,0.243312,0.360353
MG_15mM_1264_Box_50_run3_frame0024_SHL6,0.215004,0.236417
MG_15mM_1264_Box_50_run3_frame0025_SHL6,0.286854,0.3709
MG_15mM_1264_Box_50_run3_frame0026_SHL6,0.156266,0.260174
MG_15mM_1264_Box_50_run3_frame0027_SHL2,0.223393,0.275056
MG_15mM_1264_Box_50_run3_frame0028_SHL6,0.229974,0.320525
MG_15mM_1264_Box_50_run3_frame0029_SHL6,0.295702,0.416548
MG_15mM_1264_Box_50_run3_frame0030_SHL4,0.215008,0.324076
MG_15mM_1264_Box_50_run3_frame0031_SHL6,0.278122,0.392819
MG_15mM_1264_Box_50_run3_frame0032_SHL6,0.302646,0.410589
MG_15mM_1264_Box_50_run3_frame0033_SHL4,0.178324,0.308252
MG_15mM_1264_Box_50_run3_frame0033_SHL6,0.196997,0.273925
