Frame,System,Number
478,MG_15mM_1264_wo_rw_run2,1
479,MG_15mM_1264_wo_rw_run2,1
480,MG_15mM_1264_wo_rw_run2,1
481,MG_15mM_1264_wo_rw_run2,2
482,MG_15mM_1264_wo_rw_run2,1
483,MG_15mM_1264_wo_rw_run2,1
484,MG_15mM_1264_wo_rw_run2,4
485,MG_15mM_1264_wo_rw_run2,1
486,MG_15mM_1264_wo_rw_run2,2
487,MG_15mM_1264_wo_rw_run2,1
488,MG_15mM_1264_wo_rw_run2,4
489,MG_15mM_1264_wo_rw_run2,2
490,MG_15mM_1264_wo_rw_run2,0
491,MG_15mM_1264_wo_rw_run2,0
492,MG_15mM_1264_wo_rw_run2,0
493,MG_15mM_1264_wo_rw_run2,0
494,MG_15mM_1264_wo_rw_run2,1
495,MG_15mM_1264_wo_rw_run2,0
496,MG_15mM_1264_wo_rw_run2,1
497,MG_15mM_1264_wo_rw_run2,1
498,MG_15mM_1264_wo_rw_run2,1
499,MG_15mM_1264_wo_rw_run2,1
500,MG_15mM_1264_wo_rw_run2,1
501,MG_15mM_1264_wo_rw_run2,1
502,MG_15mM_1264_wo_rw_run2,0
503,MG_15mM_1264_wo_rw_run2,1
504,MG_15mM_1264_wo_rw_run2,1
505,MG_15mM_1264_wo_rw_run2,4
506,MG_15mM_1264_wo_rw_run2,0
507,MG_15mM_1264_wo_rw_run2,2
508,MG_15mM_1264_wo_rw_run2,2
509,MG_15mM_1264_wo_rw_run2,8
510,MG_15mM_1264_wo_rw_run2,6
511,MG_15mM_1264_wo_rw_run2,0
512,MG_15mM_1264_wo_rw_run2,0
513,MG_15mM_1264_wo_rw_run2,1
514,MG_15mM_1264_wo_rw_run2,0
515,MG_15mM_1264_wo_rw_run2,1
516,MG_15mM_1264_wo_rw_run2,0
517,MG_15mM_1264_wo_rw_run2,0
518,MG_15mM_1264_wo_rw_run2,0
519,MG_15mM_1264_wo_rw_run2,0
520,MG_15mM_1264_wo_rw_run2,0
521,MG_15mM_1264_wo_rw_run2,0
522,MG_15mM_1264_wo_rw_run2,0
523,MG_15mM_1264_wo_rw_run2,0
524,MG_15mM_1264_wo_rw_run2,0
525,MG_15mM_1264_wo_rw_run2,0
526,MG_15mM_1264_wo_rw_run2,0
527,MG_15mM_1264_wo_rw_run2,0
528,MG_15mM_1264_wo_rw_run2,0
529,MG_15mM_1264_wo_rw_run2,0
530,MG_15mM_1264_wo_rw_run2,0
531,MG_15mM_1264_wo_rw_run2,0
532,MG_15mM_1264_wo_rw_run2,0
533,MG_15mM_1264_wo_rw_run2,0
534,MG_15mM_1264_wo_rw_run2,0
535,MG_15mM_1264_wo_rw_run2,0
536,MG_15mM_1264_wo_rw_run2,0
537,MG_15mM_1264_wo_rw_run2,0
538,MG_15mM_1264_wo_rw_run2,0
539,MG_15mM_1264_wo_rw_run2,0
540,MG_15mM_1264_wo_rw_run2,0
541,MG_15mM_1264_wo_rw_run2,3
542,MG_15mM_1264_wo_rw_run2,2
543,MG_15mM_1264_wo_rw_run2,1
544,MG_15mM_1264_wo_rw_run2,0
545,MG_15mM_1264_wo_rw_run2,1
